name,team,pos,gp,g,a,ppg,ppa,shg,sha,sog,hit,blk,pim,+/-,w,so,sv,ga
Bo Horvat,NYI,C,68,31,26,7,9,1,0,226,51,38,40,8
Alexis Lafrenière,NYR,LW,82,24,33,9,6,0,0,164,84,42,20,-7
Luke Evangelista,NSH,RW,81,12,44,1,16,0,0,176,21,21,28,1
Ryan Nugent-Hopkins,EDM,C,72,20,36,11,18,0,1,133,25,31,21,-9
Carter Verhaeghe,FLA,C,77,25,30,6,5,0,0,187,68,22,32,-14
Roman Josi,NSH,D,68,13,42,4,20,0,0,181,24,101,30,-15
Josh Morrissey,WPG,D,77,14,41,2,14,0,0,146,36,118,30,6
Jordan Eberle,SEA,RW,80,26,29,4,12,0,0,168,55,43,28,2
Alexander Wennberg,SJS,C,80,18,37,8,7,0,1,93,28,93,18,-25
Ryan McLeod,BUF,C,81,14,40,0,7,5,1,90,16,34,16,25
Mats Zuccarello,MIN,RW,59,15,39,6,15,0,0,122,16,26,20,-5
Jake Sanderson,OTT,D,67,14,40,5,17,0,0,147,29,128,8,16
Brad Marchand,FLA,LW,52,27,27,6,14,0,0,138,36,16,38,-16
Viktor Arvidsson,BOS,LW,69,25,29,4,5,0,0,175,24,36,24,20
Vincent Trocheck,NYR,C,67,16,37,2,14,2,0,114,193,49,64,-16
Jackson Blake,CAR,RW,81,22,31,3,9,0,0,174,13,34,40,4
Adam Fox,NYR,D,55,9,44,5,19,0,1,91,24,74,20,5
William Eklund,SJS,LW,78,15,38,3,13,0,0,176,72,51,32,-31
J.T. Miller,NYR,C,68,17,36,6,13,0,1,144,123,34,33,-30
Auston Matthews,TOR,C,60,27,26,5,7,0,0,227,42,81,18,-4
Anthony Cirelli,TBL,C,71,23,29,3,1,2,2,125,50,47,48,38
Zach Hyman,EDM,LW,58,31,21,10,5,0,0,159,56,18,28,13
Josh Doan,BUF,RW,82,25,27,9,8,0,0,170,78,31,25,-4
Aliaksei Protas,WSH,LW,76,25,27,0,1,2,1,159,33,42,20,20
Dylan Holloway,STL,LW,59,22,29,4,4,0,0,162,129,41,20,13
Matvei Michkov,PHI,RW,81,20,31,4,8,0,0,163,33,19,71,0
Joel Eriksson Ek,MIN,C,70,19,32,7,9,0,0,194,106,34,32,16
Owen Tippett,PHI,RW,81,28,23,3,4,3,0,220,166,50,32,-6
Elias Pettersson,VAN,C,74,15,36,4,18,1,0,132,67,108,20,-30
Christian Dvorak,PHI,C,80,18,33,3,2,0,1,151,38,52,27,11
Jimmy Snuggerud,STL,RW,70,21,30,5,4,0,0,169,71,39,18,16
Brock Faber,MIN,D,80,15,36,1,10,1,1,173,33,148,39,18
Jack Quinn,BUF,RW,82,20,31,4,7,0,0,191,52,25,18,4
Brayden Point,TBL,C,63,18,32,6,5,0,0,129,8,23,14,12
Chris Kreider,ANA,LW,75,22,28,8,9,0,0,139,69,20,34,-4
Nazem Kadri,COL,C,77,16,34,5,14,0,0,213,50,30,30,-30
Matty Beniers,SEA,C,82,20,30,6,5,0,0,149,31,69,23,-8
Shayne Gostisbehere,CAR,D,55,13,37,6,12,0,0,116,29,63,22,11
Marcus Johansson,MIN,LW,75,15,34,3,6,0,1,106,34,20,12,18
Filip Hronek,VAN,D,82,8,41,4,17,0,2,137,133,100,33,-23
Chandler Stephenson,SEA,C,80,16,33,6,10,0,2,93,20,56,14,-24
Quinton Byfield,LAK,RW,79,24,25,4,7,0,1,180,66,44,46,-2
Claude Giroux,OTT,RW,82,14,35,1,12,0,0,138,65,27,22,20
Valeri Nichushkin,COL,RW,72,17,32,1,3,1,0,160,55,27,26,9
Tyler Toffoli,SJS,C,79,19,30,6,9,0,0,172,48,31,10,-12
Brock Boeser,VAN,RW,75,22,26,6,13,1,0,166,54,26,8,-48
Rickard Rakell,PIT,RW,60,24,24,7,9,1,1,166,71,43,8,-2
Artturi Lehkonen,COL,LW,70,21,27,1,1,0,0,153,45,33,16,32
Elias Lindholm,BOS,C,69,17,31,7,13,0,0,114,41,59,38,-7
Taylor Hall,CAR,LW,80,18,30,3,4,0,0,137,53,30,44,6
Pavel Buchnevich,STL,LW,81,20,28,4,11,0,0,142,30,40,26,-10
Vladimir Tarasenko,MIN,RW,75,23,24,5,8,0,0,148,60,33,10,-11
Noah Dobson,MTL,D,80,12,35,2,5,0,1,158,62,188,34,5
Noah Cates,PHI,LW,82,18,29,3,6,1,0,132,102,51,44,26
John-Jason Peterka,UTA,RW,82,25,22,3,2,0,0,159,16,19,28,6
Rasmus Andersson,VGK,D,81,17,30,6,7,1,0,178,37,150,71,4
Collin Graf,SJS,RW,81,21,25,0,1,2,1,118,88,48,12,6
Connor McMichael,WSH,LW,78,14,32,2,3,0,1,142,45,45,30,8
Bobby McMann,SEA,C,78,29,17,4,2,0,0,183,165,27,42,-3
Jordan Kyrou,STL,RW,72,18,28,4,10,0,0,173,14,28,8,-5
Shane Pinto,OTT,C,72,23,23,5,0,2,2,157,94,50,42,6
Jason Zucker,BUF,LW,62,24,21,10,6,0,0,128,57,21,23,-5
Matt Coronato,CGY,RW,80,18,27,7,8,0,0,197,23,23,32,-29
Ryan Leonard,WSH,RW,75,20,25,4,10,0,0,153,124,25,47,2
Matt Duchene,DAL,C,57,16,29,5,9,0,0,89,29,23,8,-3
Mason Marchment,CBJ,LW,68,19,26,3,4,0,0,119,84,28,56,17
Timo Meier,NJD,RW,77,24,20,6,4,0,0,269,131,53,22,-16
Vince Dunn,SEA,D,81,11,33,2,19,0,0,179,27,86,54,-24
Alex Laferriere,LAK,RW,82,21,23,3,2,2,0,209,255,49,18,3
Logan Stankoven,CAR,C,81,21,23,4,5,0,0,166,50,22,25,12
Anton Lundell,FLA,C,64,18,26,4,11,2,2,138,75,35,34,-8
Roope Hintz,DAL,C,53,15,29,6,13,0,0,126,60,18,18,16
Lawson Crouse,UTA,LW,81,24,20,1,0,1,1,141,212,52,46,20
Zach Benson,BUF,LW,65,13,30,1,4,1,1,116,40,22,42,27
Andrew Copp,DET,C,79,9,34,1,7,0,0,115,44,64,24,3
Mikael Backlund,CGY,C,82,17,26,1,2,1,4,186,23,28,16,7
Ryan Hartman,MIN,RW,76,23,20,6,1,0,0,167,64,95,48,-1
Logan Cooley,UTA,C,54,24,19,6,4,2,0,102,54,27,28,3
Connor Brown,NJD,RW,75,18,25,4,4,2,0,116,25,37,22,-1
Morgan Frost,CGY,C,82,22,21,8,8,0,0,140,59,39,28,-16
Thomas Novak,PIT,C,82,16,26,5,2,0,0,130,12,34,24,1
Egor Chinakhov,PIT,RW,72,21,21,2,4,0,0,140,49,31,10,-2
Casey Mittelstadt,BOS,C,71,15,27,2,5,0,0,80,23,21,12,12
Dawson Mercer,NJD,C,82,20,22,4,3,3,0,158,33,47,33,-2
Jake DeBrusk,VAN,LW,81,23,19,19,5,0,0,219,66,34,12,-31
Bowen Byram,BUF,D,82,11,31,1,6,0,1,109,50,93,48,15
Anders Lee,NYI,LW,82,19,23,5,3,0,0,199,91,37,44,0
Mason McTavish,ANA,C,75,17,24,6,5,0,0,146,95,33,42,-15
Simon Holmstrom,NYI,RW,79,19,22,1,3,2,2,100,16,45,16,4
Frank Nazar,CHI,C,66,15,26,4,8,1,0,138,37,43,26,-21
Mattias Samuelsson,BUF,D,78,13,28,0,0,1,2,109,132,154,28,41
Mavrik Bourque,DAL,C,82,20,21,1,4,0,0,147,78,21,22,6
Mattias Ekholm,EDM,D,82,6,35,0,3,0,0,131,65,125,30,32
Mikael Granlund,ANA,C,58,19,22,8,4,0,0,117,32,41,18,-9
Kevin Fiala,LAK,LW,56,18,22,4,13,0,0,147,39,24,34,-11
Jared McCann,SEA,LW,52,20,20,7,6,0,0,117,40,25,11,-7
Justin Faulk,DET,D,78,16,24,2,7,0,1,148,70,132,42,-8
Brandt Clarke,LAK,D,82,8,32,2,11,0,0,159,30,185,63,11
Kaapo Kakko,SEA,RW,65,13,27,2,6,0,0,78,30,12,14,14
Sam Malinski,COL,D,82,8,32,0,1,0,0,164,46,95,22,43
Matias Maccelli,TOR,LW,71,14,25,2,6,0,0,90,24,17,16,-23
Brayden Schenn,NYI,C,80,18,21,4,5,0,0,119,180,41,68,-28
Matthew Tkachuk,FLA,LW,31,13,21,4,9,0,0,88,29,7,48,-6
Andrei Vasilevskiy,TBL,G,58,39,2,1353,132
Karel Vejmelka,UTA,G,64,38,2,1458,169
Jake Oettinger,DAL,G,54,35,4,1234,138
Brandon Bussi,CAR,G,39,31,2,816,97
Jeremy Swayman,BOS,G,55,31,2,1426,146
Scott Wedgewood,COL,G,45,31,4,1007,86
Logan Thompson,WSH,G,58,31,4,1447,140
Lukas Dostal,ANA,G,56,30,0,1344,169
John Gibson,DET,G,57,29,4,1317,144
Dan Vladar,PHI,G,52,29,0,1162,121
Ilya Sorokin,NYI,G,55,29,7,1386,144
Jakub Dobes,MTL,G,43,29,0,1070,117
